FAST_BRIEF,11.5066,13.7133,12.5691,13.5026,26.0563,13.1116,11.9106,10.9378,12.6031,13.8705,13.341,10.9153,13.4476,12.6126,13.8862,11.8009,7.62243,11.6118
FAST_ORB,10.702,11.7614,19.3456,13.5019,40.6819,13.1082,11.0542,12.287,12.4182,14.1546,13.9247,13.3933,12.8534,11.6056,11.8844,12.7158,10.7676,10.9396
FAST_BRISK,12.7758,12.9541,13.2483,13.9603,44.8072,0,11.6103,11.3426,11.8126,12.9845,0,12.0718,12.7962,12.0155,11.5035,12.4833,10.4424,11.9243
FAST_SIFT,12.5923,13.0141,22.2454,15.9508,0,50.3615,12.2128,12.6222,13.7245,14.4169,16.1458,12.7282,12.9215,12.8223,12.6506,12.9096,12.1258,13.2189
FAST_FREAK,10.3432,14.7617,12.9018,13.0199,11.0632,12.4972,11.6025,11.8885,12.6733,13.6608,12.2185,12.6051,12.5771,12.0062,10.1726,11.2452,10.9649,12.231
BRISK_BRIEF,14.0874,13.5972,14.6261,14.1328,13.4905,15.3987,15.8447,15.4113,15.6075,12.0746,11.4061,12.9698,12.9823,10.2134,11.6547,11.4458,9.45557,11.5115
BRISK_ORB,14.2796,19.1411,14.3473,16.7795,24.6825,22.5228,16.129,13.4032,14.1662,12.1942,11.6152,16.5024,11.7436,11.4001,11.6225,13.0244,9.00906,12.795
BRISK_BRISK,19.2847,20.0966,21.8941,16.0382,41.4688,33.3307,15.9543,22.1945,16.1421,16.0215,12.0368,16.7448,12.6069,11.303,16.7716,10.7607,9.95275,17.1554
BRISK_SIFT,13.8679,16.4431,16.1988,14.4228,32.6533,17.3071,13.7833,15.5355,16.2799,14.3462,13.3945,11.7708,12.8876,11.1673,13.3114,11.1969,11.0674,13.3788
BRISK_FREAK,20.8152,22.8397,12.78,16.0123,29.5882,14.4755,16.6331,16.7644,21.0641,12.1939,13.6087,11.8747,12.0529,10.9682,17.1126,9.94208,9.91262,10.5192
ORB_BRIEF,13.0822,0,28.6647,40.3837,20.6186,13.8629,0,0,0,100,23.2862,19.3843,0,0,100,13.3523,33.2566,36.112
ORB_ORB,21.2305,10.126,33.5074,0,0,43.7861,0,10.8781,0,0,0,0,0,0,25.5678,0,14.9642,28.0396
ORB_BRISK,18.8847,0,17.6971,18.9346,42.7609,0,100,40.8098,0,0,8.39175,0,0,54.268,0,0,22.211,0
ORB_SIFT,15.0893,15.1978,12.3999,100,100,15.5425,100,12.2933,21.3697,0,7.49666,0,0,11.4892,0,13.2833,22.0387,19.8537
ORB_FREAK,14.4733,0,10.6729,12.6081,81.0765,0,0,100,0,0,9.08103,9.95403,9.44905,54.2226,0,9.05907,0,24.1855
SHITOMASI_BRIEF,14.6039,13.0114,10.482,11.8075,13.2826,13.4761,13.3033,12.3569,0,12.9926,11.4105,11.2102,12.1898,13.2008,12.516,13.2474,13.0558,8.26497
SHITOMASI_ORB,14.3915,13.2736,12.5896,12.9186,13.121,12.2845,12.9727,13.2008,10.9286,13.4114,10.9584,12.2764,12.5317,11.8156,10.0418,12.287,8.18554,8.42613
SHITOMASI_BRISK,12.9885,12.998,14.2376,12.409,12.8322,13.9065,13.0752,14.1572,11.3526,0,10.7158,13.3308,12.7777,0,14.4854,10.3409,10.3081,10.0111
SHITOMASI_SIFT,14.2804,14.5407,14.3827,12.9212,13.4086,15.3175,14.0265,15.7526,12.463,13.2947,12.3562,11.9595,12.8008,14.6845,12.4156,13.2146,13.4628,12.0946
SHITOMASI_FREAK,12.6214,12.2062,12.7251,12.0557,12.7503,0,13.8434,10.4768,11.976,13.203,11.0098,12.6214,12.5471,12.5302,12.401,7.9578,12.1403,10.8532
LiDAR,12.9722,12.264,13.9161,7.11572,16.2511,12.4213,34.3404,9.34376,18.1318,18.0318,3.83244,-10.8537,9.22307,10.9678,8.09422,3.17535,-9.99424,8.30978
